show,notes,destinationID,google_place,google_place_id,user_entered_place,count,lat,lon,Record ID,timedstamp,Last Modified,Category,Notes,first_name,description
TRUE,,1,Universal Studios Hollywood,ChIJzzgyJU--woARcZqceSdQ3dM,Universal Studios Hollywood,7,34.1381168,-118.3533783,reckOrduLF1yxn4UP,9/23/2023 11:12 AM,9/25/2023 9:26 PM,Amusement Park,,,
FALSE,Too general,2,Santa Monica,ChIJGQCRws6kwoARq_Uj_7UKF7Q,Santa Monica,5,34.0194543,-118.4911912,reccxn46gUEpZzBTs,9/23/2023 10:22 AM,9/25/2023 9:26 PM,City/Neighborhood,,,
TRUE,,3,The Shops at Santa Anita,ChIJ4YnG77zbwoARFQvP5LH-EVg,The Shops at Santa Anita,4,34.1343827,-118.0515692,recPH9nthosqwL3lE,9/18/2023 2:13 PM,9/25/2023 9:26 PM,Museum,,,
FALSE,Not in LA County,4,Knott's Berry Farm,ChIJo3h_9V8p3YARVTAekE45jq4,Knott's Berry Farm,4,33.8443038,-118.0002265,recVBTFtAHfL4G1pZ,9/23/2023 11:14 AM,9/25/2023 9:26 PM,Amusement Park,,,
FALSE,Too general,5,North Hollywood,ChIJ0TEA7NOVwoARtPDh3nGzOC0,North Hollywood,3,34.1794165,-118.3790527,recJAINgabsV5uo9V,9/23/2023 10:22 AM,9/25/2023 9:27 PM,City/Neighborhood,,,
FALSE,Not in LA County,6,Irvine,ChIJ40CRaA7d3IAROZpKYHW1eqc,Irvine,3,33.6845673,-117.8265049,recQCrmuVCyICcezw,9/23/2023 11:12 AM,9/25/2023 9:27 PM,City/Neighborhood,,,
FALSE,Too general,7,Long Beach,ChIJWdeZQOjKwoARqo8qxPo6AKE,Long Beach,3,33.7700504,-118.1937395,recWnB0r0ME4SXk1R,9/23/2023 11:13 AM,9/25/2023 9:27 PM,City/Neighborhood,,,
FALSE,Too general,8,Pasadena,ChIJUQszONzCwoARSo_RGhZBKwU,Pasadena,3,34.1477849,-118.1445155,recS5jpJZLtBeLIal,9/23/2023 11:13 AM,9/25/2023 9:27 PM,City/Neighborhood,,,
FALSE,Airport,9,Los Angeles International Airport,ChIJtU-yE9KwwoAR8a2LaVd7qHc,LAX airport (LAX),3,33.9437902,-118.4091036,recZYpTKlcfh07IAx,9/23/2023 11:14 AM,9/25/2023 9:56 PM,Airport,,,
TRUE,,10,Westfield Topanga,ChIJNdePchicwoAR-ILRf9WvVmk,Westfield Topanga,2,34.1901855,-118.6038464,recHlO5ipXS4P41Xx,9/18/2023 2:13 PM,9/25/2023 9:28 PM,Mall/Shopping Area,,,
